what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482736329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482738758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482747553
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1650482747578
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1650482749576
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1650482749787
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1650482749803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482758711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482777743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482777747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482804574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482810824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650484964570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650484972473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485160903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485165616
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1650485201311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485201329
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1650485201335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485202641
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1650485203454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485203462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485207716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485225408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485226571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518817899
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1650518832786
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518833031
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1650518833723
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1650518833810
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1650518833810
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1650518834658
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1650518834666
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1650518834666
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1650518834667
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1650518834667
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1650518834667
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1650518834682
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1650518834683
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1650518834683
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1650518834693
