what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413802072
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649413802416
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649413802913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413804642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413807062
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649413809524
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649413817866
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649413825695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413857747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413858972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413859514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413921553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649413952688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649413955243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1649413962600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1649413967533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649413968557
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649413970348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413974359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649413980050
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649413980903
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649413985659
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649413986093
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649413998249
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649414030064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414039397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414103959
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649414113319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414186905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414212424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649414219576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649414227451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649414233621
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649414234912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414239196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414246045
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649414247299
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649414252256
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649414252686
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649414264729
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649414270748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649414298180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414300452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649414301413
