what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1650482762348
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1650482762761
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1650482762789
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1650482764504
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1650482764558
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1650482764561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482765872
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1650482765937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482767958
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1650482774101
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1650482777225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482777614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482777756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482779065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482790754
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1650482790776
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1650482792826
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1650482792962
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1650482792968
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1650482792968
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1650482792968
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1650482792973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482803009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482810826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650482814388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485227188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650485231044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518835115
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1650518836562
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1650518842722
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518842865
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1650518843586
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1650518843586
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1650518843586
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1650518844600
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1650518844600
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1650518844600
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1650518844600
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1650518844600
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1650518844600
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1650518844600
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1650518844600
