what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1650518842898
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1650518842899
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1650518842900
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1650518842901
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1650518842902
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1650518842903
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1650518842905
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1650518842906
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1650518842907
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1650518842909
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1650518842909
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1650518842912
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1650518842914
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1650518842915
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1650518842919
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1650518842925
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1650518842929
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1650518842931
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1650518842933
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1650518842937
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1650518842939
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1650518842940
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1650518842942
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1650518842949
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1650518842950
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1650518842952
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1650518842953
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1650518842956
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1650518842958
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1650518842959
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1650518842961
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1650518842968
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1650518842970
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1650518842972
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1650518842974
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1650518842984
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1650518842985
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1650518842985
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1650518842987
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1650518842988
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1650518842990
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1650518843009
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1650518843012
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1650518843016
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1650518843018
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1650518843020
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1650518843021
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1650518843023
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1650518843024
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1650518843027
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1650518843029
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1650518843029
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1650518843031
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1650518843031
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1650518843033
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1650518843033
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1650518843034
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1650518843035
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1650518843035
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1650518843036
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1650518843036
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1650518843038
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1650518843039
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1650518843040
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1650518843041
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1650518843042
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1650518843043
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1650518843044
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1650518843045
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1650518843045
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1650518843045
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1650518843045
os,sysinfo,,,"win32",1650518843047
arch,sysinfo,,,"x86",1650518843047
ws,sysinfo,,,"win32",1650518843047
locale,sysinfo,,,"en_US",1650518843047
processors,sysinfo,,,"8",1650518843047
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1650518843047
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1650518843047
java.specification.name,sysinfo,,,"Java Platform API Specification",1650518843047
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1650518843047
java.specification.version,sysinfo,,,"1.6",1650518843047
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1650518843047
java.version,sysinfo,,,"1.6.0_23",1650518843047
java.vm.info,sysinfo,,,"mixed mode",1650518843047
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1650518843047
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1650518843047
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1650518843047
java.vm.specification.version,sysinfo,,,"1.0",1650518843047
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1650518843047
java.vm.version,sysinfo,,,"19.0-b09",1650518843047
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1650518843052
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1650518844097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518844255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518846077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1650518847943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518852918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518867240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518872752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518875489
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1650518876879
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1650518876938
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1650518879121
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1650518879211
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1650518879219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518880759
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1650518880846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518883267
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1650518889441
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1650518893267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518893534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518893876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518895956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518903653
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1650518903681
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1650518905717
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1650518905967
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1650518905973
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1650518905974
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1650518905975
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1650518905980
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1650518915354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518916575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518928369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650518930403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519034794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519036635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519056168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519056176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519056212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519058493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519107119
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1650519107152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519108406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519122145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519123182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1650519293527
