what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305386058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305605701
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305606725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649305609361
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649305610700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305616553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305619062
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649305619387
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305621195
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649305621404
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305627243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305630936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305680692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305688922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306518034
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649306519063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649306526657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649306532581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306535468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306555560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306558604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306565569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306571066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306574697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306581539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306583362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306584128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306586040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306587826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306590228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306590754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306605555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306610197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306615294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649306616436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306620208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306621769
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649306622143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306623476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306627867
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649306629962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649306638018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649306639518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306641916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306644896
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649306645221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306645252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306647132
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649306647310
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649306647521
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649306653337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306656843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306706979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649306711713
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1649306715156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649306715953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306720852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306776634
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649306798468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306801585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306804268
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649306804630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306806019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306809275
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649306809748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649306819388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649306820274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307010820
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649307012123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307015103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307017811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307018131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307019471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307024985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307026364
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649307026701
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307028557
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649307028770
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307034515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307040348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307072807
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649307073489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649307076682
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649307079482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307084809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307087305
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649307087649
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307089562
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649307089750
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307095616
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649307098618
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1649307104169
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649307106668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307110086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307111473
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649307111837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307111912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307113156
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307116075
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649307116263
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649307117279
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649307120122
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307122154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307124596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307154076
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649307159257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307162703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307164053
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649307164428
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307166511
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649307166750
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649307172790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307176250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649307201914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309024920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309434855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309438040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309442451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309445663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309445984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649309447398
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1649309448035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649309448416
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649309449501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309454037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649309456404
