what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305270072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305276073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305277425
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649305277788
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305279607
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649305279843
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305285780
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305291909
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1649305292897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649305293787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649305295164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305298075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305300474
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649305300831
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305302715
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649305302948
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305308692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305320523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305386584
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649305387759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305397258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305401884
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305401902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305406380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305467810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305472097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305476357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1649305479705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649305480693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1649305482623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649305483510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305484653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305487116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305501174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305515194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305518366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305527081
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1649305528798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1649305529570
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649305531567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305539310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305550521
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1649305550851
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305552723
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1649305553005
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1649305559041
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305564272
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305566507
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305571393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305577140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649305596872
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649305598849
