what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648971758869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971761456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971763161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971766014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971767563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971767574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971768997
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648971769002
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971780396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648971805847
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648971806929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971811048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971811438
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971812516
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648971813957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971818540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971820940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971820953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971822265
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648971822273
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648971825761
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971829625
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648971833881
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971835908
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648971836614
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971836812
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648971839136
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971839952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971848662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971862363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648971864049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648971865101
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648971868337
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648971881468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971884367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971885961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971885975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971887753
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648971887759
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648971888485
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971937599
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648971946828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1648971952490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971953558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971963287
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648971978928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648971989843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972003375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648972004305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648972005367
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648972006078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972009506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972011738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972017092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972019329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972019341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972021070
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648972021077
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972021455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1648972022245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1648972024182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648972025765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648972053044
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648972053968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972056469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972057146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972062744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972064680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972064691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648972065992
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648972065997
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972068677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648972070916
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648972097559
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972114015
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1648972114524
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1648972115000
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648972115555
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972116868
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648972117515
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972118624
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648972118994
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972119162
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648972122087
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648972122292
